<label>|<Sentence Text>|<Always deliberative>|<Non-IIA>|<Sentiment>|<Subjectivity>
|||||
D0|PURPOSE: To demonstrate the Presidentâ€™s commitment to moving people from welfare to work, and to urge states to move forward in creating effective â€œWelfare to Workâ€ programs.|||0.99145937|0.64224267
|||||
D1|BACKGROUND: Although nearly all states have submitted plans for how they will move people from welfare to work under the new welfare law, most of the plans are â€œplaceholders.â€|||-0.983156145|0.9931815
D1|So far there is very little evidence that states have engaged private and non-private sectors to create a bridge from welfare to work that will fully meet the challenges of the new welfare law|||-0.987934232|0.35538745
D1|The Presidentâ€™s participation would call attention to model welfare to work programs and provide a road map to help welfare reform succeed.|1||0.97853148|0.001493866
|||||
D0|PREVIOUS PARTICIPATION: I The President held a Welfare to Work event on May 20th in the East Room with companies pledging to hire from the welfare rolls.|||0.94830215|0.016830042
|||||
D0|DATE & TIME: 2 hours July or early August|||-0.719352841|7.95E-05
D0|It is important that this conference take place before the one year anniversary of the signing of the welfare bill on August 22.|||0.739421844|0.001138388
|||||
D0|LOCATION: Washington, DC|||0.970956862|0.82653785
|||||
D0|PARTICIPANTS: State and local elected officials, employers, welfare to work program representatives, welfare experts and researchers, etc.|||0.993798912|3.61E-05
|||||
D0|OUTLINE OF EVENTS: The President could moderate the first of three roundtable discussions which is on the topic of welfare to work.|||-0.938905001|0.9403669
|||||
D0|REMARKS REQUIRED: Yes.|||0.993694603|0.9763774
|||||
D0|MEDIA COVERAGE: Yes.|||0.995640516|0.9763774
|||||
D0|As promised, here is the proposal for the welfare to work conference with President Clinton||1|0.926643074|0.022837661
D0|We have incorporated comments from you||1|0.795032024|0.4803977
D0|We hope that it can be scheduled for July or early August, before the one year anniversary of the bill-signing||1|-0.931055903|0.009090856
D0|We can begin working on a site for the event, and contacting speakers, as soon as the President's schedulers finalize a date.||1|0.798049212|0.00021181
|||||
D0|Sponsors: Progressive Policy Institute, The Welfare to Work Foundation, and a conservative think tank (possibly American Enterprise Instilute or the Progress Freedom Foundation)||1|0.821802735|0.002235415
D0|Strategic Objective: Refocus the debate from the Washington argument over whether the welfare bill should have been signed, to the crilical decisions being made right now by slates thal will delermine whether we create an employment system for welfare recipients||1|0.991816819|0.9996014
D0|This is a significant moment for slates and others engaged in developing new policy that should focus on welfare-to-work initiatives||1|0.976820052|0.96333385
D0|"Although 47 states have submitted state plans under the new welfare law, most of the plans are ""placeholders"""||1|-0.994202197|0.3908493
D0|Yet, this is the moment when states should be focused on ercating the new system that moves people from weltare to work||1|-0.620133162|0.8925727
D0|While the economy is strong, and states have new resources tor investment, states should be creating the system of intermediaries and other supports that have been proven to help people get and keep jobs||1|-0.882823646|0.000177554
D0|States will either focus on creating the employment system now, or be derailed in the effort by bureaucratic inertia||1|-0.997339785|0.9417706
D0|So far, there is very little evidence that states have focused on ereating an employment system by cngaging the private and non-profit sectors, and changing the culture of the public sector||1|-0.998519957|0.8912462
D0|Thus, there is a compelling need for Presidential leadership to refocus states and influential thought-leaders on the public policy needed to ereate the bridge to work.||1|0.960656703|0.8049205
|||||
D0|Premise: Finishing the job of creating an employment system out of the old welfare programs requires three steps||1|-0.7651003|0.95824903
D0|"First, we need to create the labor market bridge tor entry level workers -- a public/private system of readiness training placement, and retention services for some workers, unsubsidized employment will not be an option al first -- for these participants a communily service opportunity will be necessary to meet the ""work-first"" requirements"||1|0.580037534|5.79E-06
D0|Second, we must make work pay by ercating a scamless employment system tor all low wage workers (not just current and former welfare recipients): child care, health care etc||1|-0.989610791|0.066444606
D0|Finally, we need to measure our progress with the right standards: success means inercased independence through work, and deercased poverty||1|0.980472505|0.004058742
D0|We must be able to identity the successful program components so they can be replicated and through monitoring, we can adjust the programs when necessary.||1|0.997928619|0.58476824
|||||
D0|Audience: State decision makers (NCSI and APWA committees), corporate community, Washington Although the live audience will be limited, we anticipate that many more will SPAN.||1|0.997368038|0.99993956
|||||
D0|"Format: ""Round"" table"||1|-0.875917017|0.065461084
D0|Discussion of the first issue anchored by the President||1|0.995367646|0.002414399
D0|There will be three discussion topics||1|0.987187505|0.6568673
D0|Each speaker will make a short presentation of five to ten minutes and will be grouped aecording to the agenda||1|0.984410524|0.99939
D0|Speakers will move in and out, while other participants remain at the main table||1|-0.771288872|0.007922853
D0|Observers will be sitting outside the table area.||1|-0.983175516|0.10528798
|||||
D0|Topic 1: The Bridge to Work||1|0.993725479|0.063727096
D0|The Role of the Welfare-to-Work System: The Labor Market Bridge for Entry Level Workers -- Readiness, Placement, and Retention Services (including housing and transportation) can provide the bridge lo work for many welfare recipients||1|0.99769187|0.000190814
D0|We need to have an environment that supports the creation of such providers||1|0.876473367|0.9117153
D0|The President's budget proposal is critical to success because it provides a separate stream of funding as seed money lo encourage the slates to create the infrastructure for the intermediary system||1|0.997362912|0.99343187
D0|"It is important to create the syslem now, while the economy is strong and before we hil the ""long-termers"" on the welfare rolls"||1|-0.706080973|0.79426205
|||||
D0|a) Public und Private Intermediaries Moderator: President Clinton / Amcrica Works --lâ€™eter Cove ( Indianapolis Competitive Model) STRIVE --New York instructor Oregon Jobs Plus Richard Schwartz New York City Worktare Model or Linda Stewart, Scerctary of the Department of Worktoree Development, WI Successful participant from Strive||1|0.979741573|1.84E-07
|||||
D0|b) Corporate Customers: Moderator: Eli Segal, Welfare to Work Partnership Using or replicating intermediaries (readiness and retention services) is a good business decision||1|0.533246279|0.00427042
D0|Gerald Greenwald, United Airlines Chairman and CEO ' Mitchell S Fromstein, Manpower Chief Execulive Officer Suceesstul participant trom a corporate-based program Discussion||1|0.807441771|0.7455505
|||||
D0|Topic 2: Making Work Pay Moderator: Antonio Riley States need to ercate a scamless employment system for all low wage workers (not just working weltare recipients): child care, health care, state LIC, access to the federal LIC, state carned income disregards, child support||1|-0.844308615|0.07614052
D0|Antonio Riley (State Rep, Wisconsin) rie Fingerhut ( Cleveland Federation tor Community Planning, former state Senator and Congressman, Ohio) Christopher Jencks (Harvard) Rebecca Blank: (Northwestern) Low-wage workers Discussion||1|-0.683565557|4.69E-08
|||||
D0|Topic 3: Assessment/Monitoring||1|0.919981122|0.2415149
D0|Moderator: Margy Wadler A truc employment system will include measuring for suceess based on work placement and retention, not just cascload reduction||1|0.866571665|0.7448952
D0|We uecd to be able to adjust for improvement and to replicate suecesstul program components||1|0.976127923|0.95752454
D0|States have to make a commitment to collect the data because they have the connection to the people, and maintain the data banks||1|0.997787833|0.005486888
D0|Tom Corbett -- University of Wisconsin, Institute for Poverty Research Claudia Coulton -- Case Western Reserve, Mandel School for Applied Social Research er National Academy of Sciences conference speakers Mark Greenberg -- Center for Law and Social Policy Discussion||1|0.994955838|0.001425652
|||||
D0|Concluding remarks: Finishing the Job Wrap-up by Will Marshall, and others||1|0.786097884|0.42096666
D0|Call on the corporate leaders and stale decision-makers to ensure that we build the bridge to work.||1|-0.999267638|0.9466798
|||||
D0|Presidential participation in the launch of PSA campaign oe by Education Excellence Partnership (comprised of the Business Roundtable, NGA, AFT, NAB and U.S Department of Education) and Major League Baseball|||0.988189578|0.011426442
D0|The Partnership has requested that the President participate in an event at Camden Yards in order to facilitate the participation of Major League Baseball players who will be playing that day.|||0.989530027|2.74E-06
|||||
D0|To launch a new series of public service ads featuring major league baseball players, that encourage students to work hard in school in order â€” to reach high standards, and encourage parents to be involved in their childrenâ€™s schools|||0.510180712|2.39E-09
D0|These ads would be the next phase in a series of PSAâ€™s sponsored by the Education Excellence Partnership (EEP), led by the national Business RoundtablÃ©, and including the National Governorsâ€™ Association, the American Federation of Teachers and the U.S Department of Education.|||-0.915518939|1.11E-08
|||||
D0|The Education Excellence Partnership (EEP) is a coaltion of key education, business and governmental organizations that work together to educate the public about the neeed to raise academic standards|||0.990427613|0.059565164
D0|The main vehicle for its work has been a public service campaign featuring TV and radio spots that attempt to build support for increased academic standards, and fulfillment materials that provide greater detail and additional information about ways to get involved in local school reforms|||-0.727234066|0.000399564
D0|As part of its effort to strengthen this ad campaign, the EEP, led by the national Business Roundtable, has formed a new partnership with Major League Baseball|||0.974684656|0.062172104
D0|The new PSAâ€™s will feature baseball players in their role as parents|||0.98123312|0.00338251
D0|The fulfillment materials for this ad campaign will include examples of academic standards, including those that form the basis for the Presidentâ€™s national testing initiative.|||0.918106198|0.29320836
|||||
D0|The President has been invited to participate in an event on July 2, 15, or 17|||0.915361702|2.98E-07
D0|These dates were selected to coincide with Baltimore Orioles home games as well as the schedules of other likely participants from the Business Roundtable|||0.649687529|2.61E-06
D0|If none of these dates were available on the Presidentâ€™s schedule, it may be possible to negotiate other dates.|||-0.964992881|0.4075393
|||||
D0|Camden Yards, because the organizers believe that major league baseball players will be most likely to participate in an event on a game day if it is held at the ballpark|||0.855610907|0.00904972
D0|They would be willing to explore holding the event at the White House if it were more convenient for the the President.|||-0.854064763|0.00185896
|||||
D0|The Educational Excellence Partnership, which includes the Business Roundtable and the U.S Department of Education, invites you to participate in the announcement this summer of our new parmership with Major League Baseball, at which time we will also be launching our new public service advertising campaign supporting higher standards in education.||1|0.990782678|0.9348391
D0|These new ads depicting popular baseball players in their role as parents of school children will laud education and urge parents to become involved in their childrenâ€™s schools||1|-0.973972857|6.19E-07
D0|This campaign will be a win-win for all involved and should help build public support for education standards as well as Major League Baseball.||1|0.995295346|0.110016935
|||||
D0|We intend to unveil our partnership and campaign in an appropriate event at Camden Yards in Baltimore on July 2nd, which is the day of an afternoon game, or July 15th or 17th, which are evening games||1|0.999130547|0.00193441
D0|It would obviously be extraordinarily beneficial for all of our efforts if you could attend, Our event would likely be in late afternoon or early evening; once we have identified all our participants we will jointly develop an appropriate agenda.||1|0.985773802|0.99952376
|||||
D0|Working singly and together the members of the EEP have made enormous strides in standards-based education reform since the initiation of our current efforts in 1989, duc in no small part to your efforts while governor of Arkansas and the momentum established by your administration||1|0.998178244|0.003945971
D0|Yet a great deal remains to be accomplished||1|0.907209218|0.9763787
D0|We hope this partnership with Major League Baseball will {pews doubly effective, creating role models for parental involvement through the use of the icons of baseball||1|0.935388207|0.8973364
D0|We can raise the visibility of our campaign that much higher through your participation||1|0.987748384|0.9693952
D0|I hope you will give serious consideration to attending||1|0.959311783|0.9215494
|||||
D0|To highlight the Administrationâ€™s commitment to making communities - safer and promoting home ownership by providing incentives to law enforcement officers to live in low-income neighborhoods.|||0.926478505|0.001959719
|||||
D0|The Officer Next Door initiative will give a 40% discount to public safety personnel who purchase HUD-owned homes in designated areas|||0.829490125|2.41E-06
D0|HUD has approximately 3,000 homes that it will make available for purchase as part of this one year program|||0.991958737|0.9805978
D0|This program will aim to prevent crime by increasing the presence of public safety personnel and giving police a greater stake in the community they are serving.|||0.984829485|3.86E-05
|||||
D0|At this event, the President would call on mayors across the country to participate in the new HUD program|||0.557930887|0.004618532
D0|Los Angeles Mayor Riordan in partnership with Fannie Mae and Los Angeles Housing Department launched a similar program in March entitled â€œHomes for Peace Officers and Firefighters.â€|||0.590202153|1.28E-06
|||||
D0|Welfare to Work Jobs Challenge|||-0.87304008|0.006998372
D0|The Jobs Challenge is designed to help States and cities move a million of the hardest-to-emplo welfare recipients into lasting jobs by the year 2000|||0.968391836|2.99E-05
D0|It provides $3 billion in mandatory funding for job placement and job creation|||0.972078979|0.5193085
D0|States and cities can use these funds to provide subsidies and other incentives to private business|||0.907376945|0.001975432
D0|The Federal Government also will encourage States and cities to use voucher-like arrangements to empower individuals with the tools and choices to help them get & keep We - bud yer napoleon jobs.|||0.973884523|0.000756149
|||||
D0|Enhance WOTC for Welfare Recipients|||0.98336792|0.5636835
D0|For employers, the budget proposes tax incentives to create new job opportunities for long-term welfare recipients|||-0.98090601|0.5413438
D0|The budget would create a much-enhanced credit that focuses on those who most need help -- long-term welfare recipients|||0.965811729|0.9830867
D0|The new credit would let employers claim a 50% credit on the first $10,000 a year of wages for up to two years, for workers they hire who were long-term welfare 0.3 recipients.|||-0.974427521|8.07E-06
|||||
D0|Extend WOTC for 18-50's|||0.775116205|0.62508315
D0|The budget also expands the existing WOTC tax credit by including able-bodied childless adults who, under the Administration's Food Stamp proposal, would face a more rigorous work requirement in order to continue receiving Food Stamps.|||0.73207593|0.98522854
|||||
D0|Subtotal, Welfare to Work Totals may not add due to rounding.|||-0.998322666|0.9994548
|||||
D0|Benefits for Disabled Immigrants|||0.996308267|0.000822435
D0|The Administration's budget would restore SSI benefits for 310,000 legal immigrants who become disabled after their entry into the U.S., in recognition of the fact that they cannot provide for their own support through work|||0.520263135|0.003288952
D0|Of those 310,000 legal immigrant adults, approximately 190,000 would have Medicaid coverage restored|||-0.937770247|0.43979883
D0|Barring legal immigrants who played by the rules from these safety net programs is unfair and shortsighted.|||-0.999797165|0.4273622
|||||
D0|Benefits for Immigrant Children|||0.997196794|0.00140127
D0|The welfare reform law denies SSI and Medicaid to many legal immigrant children who become seriously ill, or have an accident and become disabled, and whose families fall on hard times|||-0.993087351|6.66E-08
D0|Under the Administration's proposal, legal immigrant children would continue to be eligible for SSI and Medicaid|||0.72100997|0.002298225
D0|In FY 1998, this proposal would protect SSI and Medicaid eligibility for about 8,000 disabled immigrant children, and ensure medical care for about another 30,000 non-disabled children.|||0.971055627|7.80E-06
|||||
D0|Extention for Refugees and Asylees|||-0.946763337|0.017409516
D0|The welfare bill exempted refugees and asylees from the benefit restrictions for their first five years in the country|||0.671806812|3.34E-07
D0|The budget would lengthen the exemption for refugees and asylees from 5 to 7 years to provide  a more appropriate time for refugees and asylees to become citizens|||-0.944519281|0.06697714
D0|It would protect eligibility for about 17,000 refugees and asylees in FY 1998.|||0.76645869|0.0920478
|||||
D0|18-50's Work Requirement|||0.944499493|0.72445863
D0|"The Administration's proposal reconfigures the ""3 in 36"" time limit in the welfare statute in 4 key ways: (1) It changes the time limit to 6 months in 12; "|||0.608471394|0.001695166
D0|(2) Provides additional funds of $280 million total in FYs 97-02 to enable States to create work for people willing to work;|||0.961100578|0.19433664
D0|(3) Imposes tough sanctions while protecting those who are willing to work;|||0.793458939|0.01592176
D0|(4) Provides States with more authority to provide Food Stamps as wages.|||0.891416848|0.108565435
|||||
D0|Shelter Deduction|||-0.6805287|0.047089998
D0|The Administration's proposal would accelerate planned increases in the excess shelter deduction and would eventually eliminate the cap on the deduction in FY02, allowing low-income families with high housing costs to deduct the full cost of their housing expenses when calculating their net income|||-0.958403111|0.9860886
D0|80% of the benefit of this proposal is to households with children.|||-0.792580724|0.027140673
|||||
D0|Reindex the Standard Deduction|||0.992233515|0.9936951
D0|The standard deduction is a general deduction given to all households|||0.803952098|0.9819437
D0|The welfare bill froze it, no longer allowing it to index|||-0.999501586|0.8378474
D0|The Administration's proposal would reindex it to ensure that benefits keep pace with inflation.|||-0.947622597|0.9966137
|||||
D0|Vehicle Asset Limit|||-0.818151355|0.9879224
D0|The welfare bill froze the Food Stamps vehicle asset limit (the maximum value of a car a household may own) which had previously been indexed|||-0.991809785|0.06463789
D0|The Administration's proposal would increase and reindex the Vehicle Asset Limit, which has virtually been at the same level since 1977 even though the CPI for used cars has risen 125%.|||-0.989785373|0.99968565
|||||
D0|Medical Coverage for Low-Income Disabled Children The Administration's budget would allow disabled children who lose their SSI eligibility due to changes in the definition of childhood disability to retain their Medicaid health coverage.|||-0.970210433|1.47E-05
|||||
D1|Options|||0.950094461|0.954788
D1|Funds in 1999-2002 to help long-term recipients in high unemployment/high poverty areas go to work and keep jobs|||0.996925414|3.93E-06
D1|Funds would be added to TANF but earmarked for work.|||-0.929574132|0.8142717
|||||
D1|Funds in 1999-2002 to help long-term recipients in high unemployment/high poverty areas go to work and keep jobs|||0.996925414|3.93E-06
D1|Funds would be available only if majority of states did not meet work participation rates in prior year|||-0.987089455|0.48357195
D1|Funds would be added to TANF, earmarked for work.|||0.676025629|0.5676903
|||||
D1|Enhanced tax credit for firms that hire long term welfare recipients--fund would pay firmâ€™s share of FICA taxes for individuals hired and retained.|||0.988837481|0.24117818
|||||
D1|Funds for vouchers for training, job creation, and job placement to help long-term recipients in high unemployment/high poverty areas go to work and keep jobs|||0.98979038|4.94E-08
D1|Funds would be added to TANF, earmarked for vouchers for individuals.|||-0.621699512|0.9177059
|||||
D1|Funds in Title XX Social Services block grant, which states could use for work or child care,|||-0.796397924|0.000123704
|||||
D1|Child Care: a) Make Child and Dependent Care Tax Credit refundable|||0.730136931|0.40879986
D1|Cost: bet $2-$5 billion|||-0.910026431|0.9546839
D1|(Mark Mazur costing specific options by 4/15.)|1||-0.880423129|0.48012528
|||||
D1|b) Increase the Child and Dependent Care Tax Credit amount to $3,600 for one child and $5,400 for two|||-0.834122837|0.001035483
D1|Increase could be phased in over time|1||-0.964449346|0.647164
D1|(Mark Mazur costing specific options by 4/15.)|1||-0.880423129|0.48012528
|||||
D1|c) $1.4 billion through 2002 for working poor families that CBO says is needed to 2 keep them from getting short-changed by welfare reform (Dodd-Daschle)|||0.728984475|1.22E-05
D1|(This week, CBO is redoing its analysis of the shortfall -- dollar amount would change accordingly.)|||-0.999177873|0.99995506
|||||
D1|d) Tax credit to companies for costs of building, renovating and/or operating child care centers (50% credit for eligible activities up to $150,000 per year per business)|||0.953021944|4.69E-08
D1|Cost: $2.6 billion (Kohl)|||-0.526309609|0.020267168
D1|(Because this proposal would subsidize already operating centers, Mark Mazur is developing an option that would subsidize only the expansion or creation of new centers, which would cost less.)|1||-0.997501194|0.94273597
|||||
D1|e) Loan forgiveness tax credit in Presidentâ€™s budget which could be used for individuals becoming child care workers|||0.626197517|0.001544157
D1|Cost: minimal.|||0.778292477|0.9916824
|||||
D1|BACKGROUND: Prime Minister Blair has tracked the Administrationâ€™s welfare reform efforts with great interest and has incorporated the themes of work, personal responsibility, and private sector involvement into his Welfare to Work strategies|||0.999322653|9.16E-05
D1|A visit to an innovative welfare reform site would demonstrate first-hand what the public and private sector, working together, can do to help welfare recipients get and keep good jobs|||0.994277656|0.025502179
D1|The President could visit a business where the President and Prime Minister could talk with an employer, former welfare recipients, and the public officials involved in welfare reform in that community.|||-0.798752725|1.80E-08
|||||
D1|Giant Foods, Inc has an excellent program in Prince Georgeâ€™s County, MD that would be ideal for this visit|||0.556067765|0.002154413
D1|They could tour a Giant grocery store, or possibly the central bakery facility|1||0.611402273|2.78E-08
D1|They could visit welfare recipients who are presently being trained or have completed training for positions such as bakery clerks, meat processors, cashiers, and pharmacy clerks.|1||-0.738709629|6.70E-10
|||||
D0|To date, Giant has hired 71 of 91 people interviewed (exceeding the normal hire rate of 1 in 4)|||0.898283899|8.31E-06
D0|In the four months since the program began, only 5 people have left (compared to Giant's typical attrition rate of 50%)|||-0.990116417|4.40E-05
D0|As soon as people enter Giant's training, they earn $6.60-$8.75 per hour (depending on the position) and receive full medical benefits within 30 days.|||0.959849417|5.36E-07
|||||
D1|The company: Giant is based in Landover, MD and has 170 stores and 27,000 employees in the Washington Metro area|||0.99604404|6.04E-07
D1|The company is partially owned by a British firm, J Sainsbury PLC, the leading food retailer in the UK|||-0.798707902|1.66E-08
D1|Their training program is a partnership between Giant, the Private Industry Council, and the local welfare office in Prince George's County|||0.996520519|3.43E-11
D1|We understand that the UFCW union supports the program, but will get more details|||-0.850385249|0.9900607
D1|Governor Glendening's office is excited about the program and about the potential visit.|||0.980557203|0.5901377
|||||
D1|POTUS has never visited or met with Giant training program executives|||-0.982214868|0.001768645
D1|Last welfare to work event was in November in Wichita.|||-0.987042189|8.09E-05
|||||
D1|#NAME?|1||0.951031446|0.000350126
D1|#NAME?|1||0.759562314|0.000937823
|||||
D1|I think we would want to show the Prime Minister how we are reforming welfare in America, i.e., how the public and private sectors are working together to move welfare recipients, who are here primarily single women, to work|1||-0.569906235|0.17035453
D1|I do not think we would want to focus a visit on young men just because thatâ€™s what they're considering in Britain, but we would rather want to focus on the how-to-connect-welfare-recipients-to-jobs issue that seems to also be a strong interest of theirs.|1||-0.978003085|0.9989109
|||||
D0|Just had a lengthy and enlightening conversation with Cecilia Calvo at W2W Partnership|||0.984932959|0.5877496
D0|She is a weaith of information about what's going on in U.K|||0.872916877|0.009366817
D0|re: welfare reform, having recently led a group of high level British officials on a tour to NY, Washington, St Louis and Milwaukee and spending several weeks in Britain learning about what they are doing|||0.982601464|2.47E-06
D0|She says that the most immediate focus is a 'New Dealâ€™ for 18-24 year olds, starting in 12 pilot sites in January and going national in April|||0.605802715|1.17E-07
D0|The program targets unemployed youth who will be called in once they have received assistance for 6 months|||-0.99723202|0.00013221
D0|They will come into a job center, meet with a 'New Deal' advisor, get andassessment, and if determined job ready, go to work|||0.954021633|1.61E-05
D0|If not, they will go through 12 weeks officialsStrive-like job readiness, including assessment for substance abuse and learning disabilities, then goingto one of four steps: unsubsidized job, long-term training, voluntary sector sort of like working experience, or work in the environmental sector|||-0.979230106|3.84E-06
D0|This is largely andmalespopulation, not single parents|||-0.998565137|0.11473477
|||||
D1|Given this focus, we may want to reconsider some of the site visit options, or at least ask people in the four states if they have suggestions for programs focusing on a similar population|1||-0.966396451|0.99011713
D1|Cecilia is sending me some info about some Americorps/welfare reform partnerships in Florida and NY|1||-0.626808405|0.012630157
D1|She said her visit to YouthBuild in St Louis was also good|1||0.979040027|8.80E-07
D1|At the same time, she says Blair et al remain very interested in how to operate effective job centers and private sector involvement|1||0.894215226|2.15E-05
D1|Seems to me the question is to what extent we want to highlight the youth issue, since the population the Brits are targeting is not really a primary focus of our welfare reform initiatives|1||-0.849199116|0.99959975
D1|Do you have any thoughts on this?|1||-0.991524637|0.8290336
|||||
D1|I concur, and will continue getting more details on options in Indiana (Indianapolis) and Floric and Florida (Miami) that focus on moving welfare recipients to private sector involvement  and highlight the new at of public agencies.|1||0.94733727|8.33E-07
|||||
D1|Much as i loved The Full Monty, I agree with Cynthia that we should show Blair our kind of welfare reform, not his.|1||-0.564124823|0.96514
|||||
D1|Another stunning chart! I'm happy going anywhere with Blair on welfare-to-work.|1||0.998451471|0.99910825
|||||
D1|Andrea sent Bruce and Elena some options several days ago, but with the budget meetings, I don't think they've had a chance to think about them|1||-0.998642981|0.08278168
D1|Bruce had told us that the Presi Ww Blair a model public-private effort moving welfare recipients to work, and he was very interested in Milwaukee|1||0.983459294|7.91E-06
D1|Andrea's also found possible sites in Indiana, Florida, and Maryland -- but I don't know whether Bruce wants to give scheduling options or push for Milwaukee.|1||-0.968997121|0.000512578
|||||
D1|The purpose would be to show Blair how we're reforming welfare in America as he begins to reform welfare in England|1||0.799123406|0.30991942
D1|This may be an event we would do with the Welfare to Work Partnership (which has been working with companies in England about possibly taunching a Partnership there) -- the Partnership is interested, but we haven't made plans yet.|1||-0.992689431|0.99746513
|||||
D0|Here's what we sent Bruce & Elena-- use your judgement about how much to reveal.|||-0.941224217|0.9872988
|||||
D1|Do you all want to make a recommendation for a welfare event for the Tony Blair visit?|1||-0.961120605|0.79644144
D1|I will make sure scheduling is aware that a request is coming, but if you have any more details before I go into the 4pm short term meeting today it would be great|1||-0.989787221|0.9999049
D1|Thanks.|||0.986550331|0.5661136
|||||
D1|The attached document: {1} provides some background on what's going on in U.K re: welfare reform, {2} lays out--in a chart--options for site visits in four states, and (3) provides additional information about the possible sites|1||-0.730724931|0.44760698
D1|How do you suggest proceeding with scheduling memo--do you want to pick your first choice for a site visit and send that forward, with backup options available as needed, or should we send forward several options?|1||-0.873656094|0.8411321
D1|We'd be happy to discuss these sites with you to help narrow it down.|1||0.993902981|0.7028408
|||||
D0|Background on where things stand in U.K|||0.995059729|0.45780766
D0|(based on press clips and recent visits of British officials) Frank Field, the social security minister, has submitted a â€˜green paperâ€™ on welfare reform to the PM Blair for review|||-0.887304544|1.25E-05
D0|Apparently this takes a comprehensive, though general, look at reforming a wide range of benefit programs including pensions and disability benefits|||-0.541746676|0.01208861
D0|Benefits to the disabled are a large and rapidly growing component of welfare spending|||0.993565381|0.011300449
D0|Proposals have been floated to cut benefits to the disabled, generating intense â€˜opposition from many in the Labour party.|||-0.97507745|0.22289628
|||||
D0|On December 10th, Parliament approved a cut in benefits for lone (single) parents|||-0.981829762|4.74E-05
D0|This was supported by Blair, Social Security secretary Harriet Harman, and Chancellor Gordon Brown|||0.965427816|0.000158344
D0|Apparently this was necessary to meet the budget targets set by the Tory Government|||0.687680781|0.008144554
D0|The proposal created a major revolt by Labour backbenchers, leading to several resignations, and 47 Labour MPs voting against the proposal|||-0.997657776|0.034639012
D0|Blair and Brown justified their position as one of the â€˜hard choicesâ€™ that Labour must make, demonstrating a commitment to live within tough spending limits and consistent with weaning single parents from welfare to work|||0.86028105|0.1669512
D0|"As part of the package, Brown announced a new child care program and a â€œNew Deal"" jobs program to help people move into work"|||-0.805153787|0.005674418
D0|The cuts, and the new programs, are scheduled for implementation in April.|||-0.895968974|0.016981967
|||||
D0|Concern about promoting responsibility, reducing dependency, and addressing underclass|||0.982171953|0.007545044
D0|One in 3 children in Britain are born out of wedlock|||0.927546561|0.000151066
D0|"On December 8th, Blair launched a new ""Social Exclusion Unit"" intended to prevent the further development of an underclass"|||-0.988704264|3.41E-05
D0|This group will focus on: tackling the problems of school expulsion and chronic truancy, reducing the number of people sleeping on the streets, and improving the qualify of life on the worst â€˜housing estatesâ€™ (presumably, and ironically, this translates to housing projects in U.S English).|||0.977380991|1.04E-07
|||||
D0|Interest in requiring single parents to work sooner|||-0.940695286|0.12861298
D0|Currently they are able to collect benefits until their youngest child is 16|||0.986225128|2.49E-07
D0|They are now being invited in on a voluntary basis to participate in employment and training assistance|||0.988862574|2.25E-06
D0|It remains to be seen whether this will occur on a large scale--funding is not adequate to make it mandatory.|||-0.999251664|0.999548
|||||
D0|Time limits, contracting/privatization, teen parent residency requirement are apparently off the table.|||-0.995049894|0.000101167
|||||
D0|Commitment to some form of safety net--empower rather than punish.|||0.999493837|0.98301494
|||||
D0|Trying to break cycle of dependency--may be focusing initially on young people (18-24) who are unemployed, come from dependent households, etc.|||-0.8653602|1.59E-05
|||||
D0|Welfare reform in Britain appears to be more directly motivated by budget issues than in U.S.|||-0.933659136|0.99887115
|||||
D0|Interested in improving Job Centres (if anyone saw Full Monty, they don't look very effective!).|||0.93742609|0.36520162
|||||
D0|At end of September, Blair gave first address to Labour's annual conference|||0.85313648|0.009693231
D0|Themes were very familiar: Shift from looking at people's barriers to their resources, disability to ability, new role for public sector (organizer, regulator, cajole, compel people to work, no longer the safety net).|||0.998273611|0.008443634
|||||
D0|Â° Interested in encouraging those who have been disabled and unemployed to return to work|||0.997817278|0.00025173
D0|This includes many unemployed men with'redundant' skills,  e.g steel workers and miners.|||-0.987650812|0.000373861
|||||
D0|BLAIR VISIT--OPTIONS FOR WELFARE REFORM EVENT Specific site (1) Giant Foods One of the Job training program Centers|||0.727608979|0.005403552
D0|(2) Job Connection See descriptions (3) Anne Arundel Job I below Center See descriptions below|||0.907211363|0.000316454
|||||
D0|Active involvement Active outreach to with chambers of employers commerce, employers|||0.995846689|8.91E-07
|||||
D0|Governor recently joined Advisory Committee, Partnership staff has had preliminary discussions, may target Baltimore.|||0.623285353|3.85E-07
|||||
D0|One-Stop Job Center, strong work first approach with ongoing supportive services, employer involvement.|||0.998048663|0.14950702
|||||
D0|(1) Giant: work-based training for good jobs; close connection between local welfare office, PIC and employer; focus on retention.|||0.988753319|1.73E-08
|||||
D0|(2) Anne Arundel Job Center: one-stop shop with strong work first message, universal access for job seekers and employers|||0.995293319|7.05E-08
|||||
D0|(3) Job Connection: collaboration between small business, chambers, local welfare offices and PIC to place welfare recipients with small business|||0.999213934|9.08E-08
|||||
D0|Strong tracking component, good data on what's happening to people|||0.988942623|0.07308987
|||||
D0|Caseload Moderate but Large caseload reduction accelerating caseload I reduction (58% reduction (30% since I since 1/93, 33% 1/93, 21% since since 8/96) 8/96)|||0.998345613|0.9999943
|||||
D0|Suburban, low unemployment|||-0.985310435|2.94E-05
|||||
